Date,ULSP (Ultra low sulphur unleaded petrol) Pump price in pence/litre,ULSD (Ultra low sulphur diesel) Pump price in pence/litre,ULSP (Ultra low sulphur unleaded petrol) Duty rate in pence/litre,ULSD (Ultra low sulphur diesel) Duty rate in pence/litre,ULSP (Ultra low sulphur unleaded petrol) VAT percentage rate,ULSD (Ultra low sulphur diesel) VAT percentage rate
2019-01-07,120.27,130.33,57.95,57.95,20,20
2019-01-14,119.53,129.47,57.95,57.95,20,20
2019-01-21,119.12,128.92,57.95,57.95,20,20
2019-01-28,119.29,129.1,57.95,57.95,20,20
2019-02-04,119.13,129.13,57.95,57.95,20,20
2019-02-11,118.97,129.17,57.95,57.95,20,20
2019-02-18,119.05,129.23,57.95,57.95,20,20
2019-02-25,119.22,129.66,57.95,57.95,20,20
2019-03-04,119.72,130.25,57.95,57.95,20,20
2019-03-11,120.1,130.59,57.95,57.95,20,20
2019-03-18,120.48,130.85,57.95,57.95,20,20
2019-03-25,120.83,131.15,57.95,57.95,20,20
2019-04-01,121.7,131.48,57.95,57.95,20,20
2019-04-08,122.75,132.08,57.95,57.95,20,20
2019-04-15,124.06,132.96,57.95,57.95,20,20
2019-04-22,125.43,133.99,57.95,57.95,20,20
2019-04-29,126.36,134.6,57.95,57.95,20,20
2019-05-06,127.5,135.41,57.95,57.95,20,20
2019-05-13,127.97,135.36,57.95,57.95,20,20
2019-05-20,128.51,135.82,57.95,57.95,20,20
2019-05-27,129.14,136.45,57.95,57.95,20,20
2019-06-03,129.41,136.39,57.95,57.95,20,20
2019-06-10,128.89,135.4,57.95,57.95,20,20
2019-06-17,127.66,133.76,57.95,57.95,20,20
2019-06-24,126.66,131.81,57.95,57.95,20,20
2019-07-01,126.49,131.55,57.95,57.95,20,20
2019-07-08,126.86,131.68,57.95,57.95,20,20
2019-07-15,127.13,131.86,57.95,57.95,20,20
2019-07-22,127.81,132.21,57.95,57.95,20,20
2019-07-29,128.03,132.6,57.95,57.95,20,20
2019-08-05,128.37,132.61,57.95,57.95,20,20
2019-08-12,128.36,132.59,57.95,57.95,20,20
2019-08-19,128.17,132.6,57.95,57.95,20,20
2019-08-26,128.22,132.51,57.95,57.95,20,20
2019-09-02,127.86,132.29,57.95,57.95,20,20
2019-09-09,127.79,131.89,57.95,57.95,20,20
2019-09-16,126.92,131.35,57.95,57.95,20,20
2019-09-23,126.78,131.52,57.95,57.95,20,20
2019-09-30,126.92,131.83,57.95,57.95,20,20
2019-10-07,126.87,131.82,57.95,57.95,20,20
2019-10-14,126.91,131.89,57.95,57.95,20,20
2019-10-21,126.4,131.28,57.95,57.95,20,20
2019-10-28,125.77,130.6,57.95,57.95,20,20
2019-11-04,125.56,130.38,57.95,57.95,20,20
2019-11-11,125.59,130.42,57.95,57.95,20,20
2019-11-18,125.58,130.35,57.95,57.95,20,20
2019-11-25,125.32,130.08,57.95,57.95,20,20
2019-12-02,124.81,129.79,57.95,57.95,20,20
2019-12-09,124.75,129.79,57.95,57.95,20,20
2019-12-16,124.33,129.56,57.95,57.95,20,20
2019-12-23,124.16,129.81,57.95,57.95,20,20
2019-12-30,124.96,130.54,57.95,57.95,20,20
2020-01-06,126.09,131.56,57.95,57.95,20,20
2020-01-13,127.17,132.69,57.95,57.95,20,20
2020-01-20,127.18,132.74,57.95,57.95,20,20
2020-01-27,127.33,132.88,57.95,57.95,20,20
2020-02-03,125.85,131.48,57.95,57.95,20,20
2020-02-10,124.73,129.7,57.95,57.95,20,20
2020-02-17,123.8,128.2,57.95,57.95,20,20
2020-02-24,123.45,127.67,57.95,57.95,20,20
2020-03-02,122.43,126.62,57.95,57.95,20,20
2020-03-09,122.24,126.25,57.95,57.95,20,20
2020-03-16,120.33,124.36,57.95,57.95,20,20
2020-03-23,119.64,123.41,57.95,57.95,20,20
2020-03-30,112.45,118.6,57.95,57.95,20,20
2020-04-06,110.23,116.83,57.95,57.95,20,20
2020-04-13,109.27,116.15,57.95,57.95,20,20
2020-04-20,108.63,115.73,57.95,57.95,20,20
