Date,Price,Open,High,Low,Change %
2024-12-31,1.2511,1.2548,1.2571,1.2504,-0.0032
2024-12-30,1.2551,1.2571,1.2608,1.2505,-0.0022
2024-12-27,1.2579,1.2523,1.2594,1.2503,0.0043
2024-12-26,1.2525,1.2552,1.2553,1.25,-0.0022
2024-12-25,1.2553,1.2543,1.256,1.2526,0.0009
2024-12-24,1.2542,1.2536,1.2577,1.2517,0.0007000000000000001
2024-12-23,1.2533,1.2568,1.259,1.2509,-0.0029
2024-12-20,1.2569,1.2502,1.2615,1.2473,0.005600000000000001
2024-12-19,1.2499,1.2577,1.2668,1.2494,-0.0059
2024-12-18,1.2573,1.271,1.2724,1.2562,-0.0108
2024-12-17,1.271,1.2685,1.273,1.2665,0.0023
2024-12-16,1.2681,1.2614,1.27,1.2612,0.005
2024-12-13,1.2618,1.2677,1.2684,1.2607,-0.0040999999999999995
2024-12-12,1.267,1.2751,1.2789,1.2665,-0.0063
2024-12-11,1.275,1.2772,1.2783,1.2712,-0.0014000000000000002
2024-12-10,1.2768,1.2751,1.2779,1.2723,0.0015
2024-12-09,1.2749,1.2735,1.28,1.2716,0.0005
2024-12-06,1.2742,1.2759,1.2813,1.272,-0.0013
2024-12-05,1.2758,1.2703,1.2772,1.2692,0.0044
2024-12-04,1.2702,1.2673,1.2723,1.2629,0.0025
2024-12-03,1.267,1.2656,1.2701,1.2635,0.0012
2024-12-02,1.2655,1.2746,1.2746,1.2616,-0.0064
2024-11-29,1.2737,1.2685,1.2751,1.2671,0.0039000000000000003
2024-11-28,1.2687,1.268,1.2693,1.2644,0.0007000000000000001
2024-11-27,1.2678,1.2572,1.2696,1.2565,0.0088
2024-11-26,1.2568,1.2571,1.2618,1.2506,0.0001
2024-11-25,1.2567,1.2541,1.2615,1.2539,0.0029
2024-11-22,1.2531,1.2592,1.2596,1.2486,-0.0044
2024-11-21,1.2586,1.2651,1.2661,1.2575,-0.0051
2024-11-20,1.265,1.2681,1.2716,1.2629,-0.0025
2024-11-19,1.2682,1.2677,1.2691,1.2612,0.0005
2024-11-18,1.2676,1.2615,1.2688,1.2608,0.004699999999999999
2024-11-15,1.2617,1.2666,1.2699,1.2596,-0.0038
2024-11-14,1.2665,1.2707,1.2722,1.2629,-0.003
2024-11-13,1.2703,1.2747,1.277,1.2685,-0.0034999999999999996
2024-11-12,1.2747,1.2871,1.2875,1.2718,-0.0095
2024-11-11,1.2869,1.2917,1.2928,1.2854,-0.004
2024-11-08,1.2921,1.2989,1.2991,1.2882,-0.005
2024-11-07,1.2986,1.2882,1.3011,1.2874,0.0084
2024-11-06,1.2878,1.3043,1.3049,1.2833,-0.0125
2024-11-05,1.3041,1.2958,1.3044,1.2947,0.006500000000000001
2024-11-04,1.2957,1.2972,1.3001,1.2933,0.0024
2024-11-01,1.2926,1.2902,1.2982,1.2883,0.0022
2024-10-31,1.2898,1.2964,1.3001,1.2843,-0.0049
2024-10-30,1.2962,1.3016,1.3045,1.2936,-0.0040999999999999995
2024-10-29,1.3015,1.2973,1.3018,1.2957,0.0034000000000000002
2024-10-28,1.2971,1.2964,1.3003,1.2938,0.0009
2024-10-25,1.2959,1.2977,1.3,1.2955,-0.001
2024-10-24,1.2972,1.2921,1.2989,1.2908,0.004
2024-10-23,1.292,1.2983,1.2996,1.2906,-0.0049
2024-10-22,1.2983,1.2984,1.3016,1.2944,-0.0001
