Date,ULSP_Price,ULSD_Price,ULSP_Duty,ULSD_Duty
2019-01-07,1.2027,1.3033,0.5795,0.5795
2019-01-14,1.1953,1.2947,0.5795,0.5795
2019-01-21,1.1912,1.2892,0.5795,0.5795
2019-01-28,1.1929,1.291,0.5795,0.5795
2019-02-04,1.1913,1.2913,0.5795,0.5795
2019-02-11,1.1897,1.2916999999999998,0.5795,0.5795
2019-02-18,1.1905,1.2923,0.5795,0.5795
2019-02-25,1.1922,1.2966,0.5795,0.5795
2019-03-04,1.1972,1.3025,0.5795,0.5795
2019-03-11,1.2009999999999998,1.3059,0.5795,0.5795
2019-03-18,1.2048,1.3085,0.5795,0.5795
2019-03-25,1.2083,1.3115,0.5795,0.5795
2019-04-01,1.217,1.3148,0.5795,0.5795
2019-04-08,1.2275,1.3208000000000002,0.5795,0.5795
2019-04-15,1.2406,1.3296,0.5795,0.5795
2019-04-22,1.2543,1.3399,0.5795,0.5795
2019-04-29,1.2636,1.346,0.5795,0.5795
2019-05-06,1.275,1.3541,0.5795,0.5795
2019-05-13,1.2797,1.3536,0.5795,0.5795
2019-05-20,1.2851,1.3582,0.5795,0.5795
2019-05-27,1.2914,1.3644999999999998,0.5795,0.5795
2019-06-03,1.2941,1.3639,0.5795,0.5795
2019-06-10,1.2889,1.354,0.5795,0.5795
2019-06-17,1.2766,1.3376,0.5795,0.5795
2019-06-24,1.2666,1.3181,0.5795,0.5795
2019-07-01,1.2649,1.3155,0.5795,0.5795
2019-07-08,1.2686,1.3168,0.5795,0.5795
2019-07-15,1.2713,1.3186000000000002,0.5795,0.5795
2019-07-22,1.2781,1.3221,0.5795,0.5795
2019-07-29,1.2803,1.3259999999999998,0.5795,0.5795
2019-08-05,1.2837,1.3261,0.5795,0.5795
2019-08-12,1.2836,1.3259,0.5795,0.5795
2019-08-19,1.2816999999999998,1.3259999999999998,0.5795,0.5795
2019-08-26,1.2822,1.3251,0.5795,0.5795
2019-09-02,1.2786,1.3229,0.5795,0.5795
2019-09-09,1.2779,1.3189,0.5795,0.5795
2019-09-16,1.2692,1.3135,0.5795,0.5795
2019-09-23,1.2678,1.3152,0.5795,0.5795
2019-09-30,1.2692,1.3183,0.5795,0.5795
2019-10-07,1.2687,1.3182,0.5795,0.5795
2019-10-14,1.2691,1.3189,0.5795,0.5795
2019-10-21,1.264,1.3128,0.5795,0.5795
2019-10-28,1.2577,1.306,0.5795,0.5795
2019-11-04,1.2556,1.3037999999999998,0.5795,0.5795
2019-11-11,1.2559,1.3041999999999998,0.5795,0.5795
2019-11-18,1.2558,1.3035,0.5795,0.5795
2019-11-25,1.2532,1.3008000000000002,0.5795,0.5795
2019-12-02,1.2481,1.2978999999999998,0.5795,0.5795
2019-12-09,1.2475,1.2978999999999998,0.5795,0.5795
2019-12-16,1.2433,1.2956,0.5795,0.5795
2019-12-23,1.2416,1.2981,0.5795,0.5795
2019-12-30,1.2496,1.3054,0.5795,0.5795
2020-01-06,1.2609,1.3156,0.5795,0.5795
2020-01-13,1.2717,1.3269,0.5795,0.5795
2020-01-20,1.2718,1.3274,0.5795,0.5795
2020-01-27,1.2733,1.3288,0.5795,0.5795
2020-02-03,1.2585,1.3148,0.5795,0.5795
2020-02-10,1.2473,1.297,0.5795,0.5795
2020-02-17,1.238,1.2819999999999998,0.5795,0.5795
2020-02-24,1.2345,1.2767,0.5795,0.5795
2020-03-02,1.2243000000000002,1.2662,0.5795,0.5795
2020-03-09,1.2224,1.2625,0.5795,0.5795
2020-03-16,1.2033,1.2436,0.5795,0.5795
2020-03-23,1.1964,1.2341,0.5795,0.5795
2020-03-30,1.1245,1.186,0.5795,0.5795
2020-04-06,1.1023,1.1683,0.5795,0.5795
2020-04-13,1.0927,1.1615,0.5795,0.5795
2020-04-20,1.0863,1.1573,0.5795,0.5795
2020-04-27,1.0788,1.1522,0.5795,0.5795
2020-05-04,1.0756,1.1494,0.5795,0.5795
2020-05-11,1.0745,1.1483,0.5795,0.5795
2020-05-18,1.0509,1.1222,0.5795,0.5795
2020-05-25,1.0487,1.117,0.5795,0.5795
2020-06-01,1.0517,1.1176,0.5795,0.5795
2020-06-08,1.0574,1.1198,0.5795,0.5795
2020-06-15,1.0637,1.1253,0.5795,0.5795
2020-06-22,1.0713,1.1298,0.5795,0.5795
2020-06-29,1.0831,1.141,0.5795,0.5795
2020-07-06,1.0943,1.1505,0.5795,0.5795
2020-07-13,1.1124,1.1675,0.5795,0.5795
2020-07-20,1.1223,1.1735,0.5795,0.5795
2020-07-27,1.1266,1.1776,0.5795,0.5795
2020-08-03,1.1291,1.1797,0.5795,0.5795
2020-08-10,1.1302,1.1801,0.5795,0.5795
2020-08-17,1.1304,1.18,0.5795,0.5795
2020-08-24,1.1322,1.1814,0.5795,0.5795
2020-08-31,1.1329,1.1818,0.5795,0.5795
2020-09-07,1.1337000000000002,1.1822,0.5795,0.5795
2020-09-14,1.1332,1.1818,0.5795,0.5795
2020-09-21,1.1331,1.1816,0.5795,0.5795
2020-09-28,1.133,1.1814,0.5795,0.5795
2020-10-05,1.1326,1.1811,0.5795,0.5795
2020-10-12,1.1319,1.1805,0.5795,0.5795
2020-10-19,1.1318,1.1808,0.5795,0.5795
2020-10-26,1.1314,1.1808,0.5795,0.5795
2020-11-02,1.1311,1.1806,0.5795,0.5795
2020-11-09,1.125,1.1728,0.5795,0.5795
2020-11-16,1.1235,1.1707,0.5795,0.5795
2020-11-23,1.1242,1.1713,0.5795,0.5795
2020-11-30,1.1261,1.1741,0.5795,0.5795
2020-12-07,1.1317,1.1799,0.5795,0.5795
2020-12-14,1.1382,1.1857,0.5795,0.5795
2020-12-21,1.1443,1.1917,0.5795,0.5795
2020-12-28,1.1491,1.1965,0.5795,0.5795
2021-01-04,1.1539,1.1997,0.5795,0.5795
2021-01-11,1.1614,1.2061,0.5795,0.5795
2021-01-18,1.1693,1.2152,0.5795,0.5795
2021-01-25,1.181,1.227,0.5795,0.5795
2021-02-01,1.1914,1.237,0.5795,0.5795
2021-02-08,1.1967,1.2409,0.5795,0.5795
2021-02-15,1.2053,1.2501,0.5795,0.5795
2021-02-22,1.2127,1.2571,0.5795,0.5795
2021-03-01,1.2217,1.2662,0.5795,0.5795
2021-03-08,1.2294,1.274,0.5795,0.5795
2021-03-15,1.239,1.2824,0.5795,0.5795
2021-03-22,1.2457,1.2902,0.5795,0.5795
2021-03-29,1.2513,1.2932,0.5795,0.5795
2021-04-05,1.2524,1.2935,0.5795,0.5795
2021-04-12,1.254,1.2938999999999998,0.5795,0.5795
2021-04-19,1.2548,1.2949000000000002,0.5795,0.5795
2021-04-26,1.258,1.2977,0.5795,0.5795
2021-05-03,1.2609,1.3,0.5795,0.5795
2021-05-10,1.2653,1.3043,0.5795,0.5795
2021-05-17,1.2719,1.3103,0.5795,0.5795
2021-05-24,1.2789,1.3152,0.5795,0.5795
2021-05-31,1.2815,1.3182,0.5795,0.5795
2021-06-07,1.2869,1.3238,0.5795,0.5795
2021-06-14,1.2947,1.3317,0.5795,0.5795
2021-06-21,1.301,1.3369,0.5795,0.5795
2021-06-28,1.3073,1.3427,0.5795,0.5795
2021-07-05,1.317,1.3413,0.5795,0.5795
2021-07-12,1.3247,1.3529,0.5795,0.5795
2021-07-19,1.332,1.3595,0.5795,0.5795
2021-07-26,1.3348,1.362,0.5795,0.5795
2021-08-02,1.3421,1.3688999999999998,0.5795,0.5795
2021-08-09,1.347,1.3731,0.5795,0.5795
2021-08-16,1.3477,1.3677,0.5795,0.5795
2021-08-23,1.3468,1.3715000000000002,0.5795,0.5795
2021-08-30,1.3466,1.3711000000000002,0.5795,0.5795
