DATE,ULSP_PRICE,ULSD_PRICE,ULSP_DUTY,ULSD_DUTY,PRICE_OIL,PRICE_CURRENCY,INFLATION_RATE
2019-01-01,1.2027,1.3033,0.5795,0.5795,59.41,1.2751,1.8
2019-01-02,1.2027,1.3033,0.5795,0.5795,59.41,1.2607,1.8
2019-01-03,1.2027,1.3033,0.5795,0.5795,59.41,1.2631,1.8
2019-01-04,1.2027,1.3033,0.5795,0.5795,59.41,1.2726,1.8
2019-01-05,1.2027,1.3033,0.5795,0.5795,59.41,1.2726,1.8
2019-01-06,1.2027,1.3033,0.5795,0.5795,59.41,1.2726,1.8
2019-01-07,1.2027,1.3033,0.5795,0.5795,59.41,1.2778,1.8
2019-01-08,1.2027,1.3033,0.5795,0.5795,59.41,1.2717,1.8
2019-01-09,1.2027,1.3033,0.5795,0.5795,59.41,1.2788,1.8
2019-01-10,1.2027,1.3033,0.5795,0.5795,59.41,1.2747,1.8
2019-01-11,1.2027,1.3033,0.5795,0.5795,59.41,1.2841,1.8
2019-01-12,1.2027,1.3033,0.5795,0.5795,59.41,1.2841,1.8
2019-01-13,1.2027,1.3033,0.5795,0.5795,59.41,1.2841,1.8
2019-01-14,1.1953,1.2947,0.5795,0.5795,59.41,1.2863,1.8
2019-01-15,1.1953,1.2947,0.5795,0.5795,59.41,1.2858,1.8
2019-01-16,1.1953,1.2947,0.5795,0.5795,59.41,1.2881,1.8
2019-01-17,1.1953,1.2947,0.5795,0.5795,59.41,1.2984,1.8
2019-01-18,1.1953,1.2947,0.5795,0.5795,59.41,1.2873,1.8
2019-01-19,1.1953,1.2947,0.5795,0.5795,59.41,1.2873,1.8
2019-01-20,1.1953,1.2947,0.5795,0.5795,59.41,1.2873,1.8
2019-01-21,1.1912,1.2892,0.5795,0.5795,59.41,1.289,1.8
2019-01-22,1.1912,1.2892,0.5795,0.5795,59.41,1.2957,1.8
2019-01-23,1.1912,1.2892,0.5795,0.5795,59.41,1.3067,1.8
2019-01-24,1.1912,1.2892,0.5795,0.5795,59.41,1.3064,1.8
2019-01-25,1.1912,1.2892,0.5795,0.5795,59.41,1.3201,1.8
2019-01-26,1.1912,1.2892,0.5795,0.5795,59.41,1.3201,1.8
2019-01-27,1.1912,1.2892,0.5795,0.5795,59.41,1.3201,1.8
2019-01-28,1.1929,1.291,0.5795,0.5795,59.41,1.3162,1.8
2019-01-29,1.1929,1.291,0.5795,0.5795,59.41,1.3066,1.8
2019-01-30,1.1929,1.291,0.5795,0.5795,59.41,1.3116,1.8
2019-01-31,1.1929,1.291,0.5795,0.5795,59.41,1.31,1.8
2019-02-01,1.1929,1.291,0.5795,0.5795,63.96,1.3083,1.8
2019-02-02,1.1929,1.291,0.5795,0.5795,63.96,1.3083,1.8
2019-02-03,1.1929,1.291,0.5795,0.5795,63.96,1.3083,1.8
2019-02-04,1.1913,1.2913,0.5795,0.5795,63.96,1.3035,1.8
2019-02-05,1.1913,1.2913,0.5795,0.5795,63.96,1.2942,1.8
2019-02-06,1.1913,1.2913,0.5795,0.5795,63.96,1.2932,1.8
2019-02-07,1.1913,1.2913,0.5795,0.5795,63.96,1.2953,1.8
2019-02-08,1.1913,1.2913,0.5795,0.5795,63.96,1.2947,1.8
2019-02-09,1.1913,1.2913,0.5795,0.5795,63.96,1.2947,1.8
2019-02-10,1.1913,1.2913,0.5795,0.5795,63.96,1.2947,1.8
2019-02-11,1.1897,1.2916999999999998,0.5795,0.5795,63.96,1.2849,1.8
2019-02-12,1.1897,1.2916999999999998,0.5795,0.5795,63.96,1.289,1.8
2019-02-13,1.1897,1.2916999999999998,0.5795,0.5795,63.96,1.2844,1.8
2019-02-14,1.1897,1.2916999999999998,0.5795,0.5795,63.96,1.2811,1.8
2019-02-15,1.1897,1.2916999999999998,0.5795,0.5795,63.96,1.2889,1.8
