DATE,ULSP_PRICE,ULSD_PRICE,ULSP_DUTY,ULSD_DUTY,PRICE_OIL,PRICE_CURRENCY,INFLATION_RATE
2019-01-01,,,,,59.41,1.2751,1.8
2019-01-02,,,,,,1.2607,
2019-01-03,,,,,,1.2631,
2019-01-04,,,,,,1.2726,
2019-01-05,,,,,,,
2019-01-06,,,,,,,
2019-01-07,1.2027,1.3033,0.5795,0.5795,,1.2778,
2019-01-08,,,,,,1.2717,
2019-01-09,,,,,,1.2788,
2019-01-10,,,,,,1.2747,
2019-01-11,,,,,,1.2841,
2019-01-12,,,,,,,
2019-01-13,,,,,,,
2019-01-14,1.1953,1.2947,0.5795,0.5795,,1.2863,
2019-01-15,,,,,,1.2858,
2019-01-16,,,,,,1.2881,
2019-01-17,,,,,,1.2984,
2019-01-18,,,,,,1.2873,
2019-01-19,,,,,,,
2019-01-20,,,,,,,
2019-01-21,1.1912,1.2892,0.5795,0.5795,,1.289,
2019-01-22,,,,,,1.2957,
2019-01-23,,,,,,1.3067,
2019-01-24,,,,,,1.3064,
2019-01-25,,,,,,1.3201,
2019-01-26,,,,,,,
2019-01-27,,,,,,,
2019-01-28,1.1929,1.291,0.5795,0.5795,,1.3162,
2019-01-29,,,,,,1.3066,
2019-01-30,,,,,,1.3116,
2019-01-31,,,,,,1.31,
2019-02-01,,,,,63.96,1.3083,1.8
2019-02-02,,,,,,,
2019-02-03,,,,,,,
2019-02-04,1.1913,1.2913,0.5795,0.5795,,1.3035,
2019-02-05,,,,,,1.2942,
2019-02-06,,,,,,1.2932,
2019-02-07,,,,,,1.2953,
2019-02-08,,,,,,1.2947,
2019-02-09,,,,,,,
2019-02-10,,,,,,,
2019-02-11,1.1897,1.2916999999999998,0.5795,0.5795,,1.2849,
2019-02-12,,,,,,1.289,
2019-02-13,,,,,,1.2844,
2019-02-14,,,,,,1.2811,
2019-02-15,,,,,,1.2889,
2019-02-16,,,,,,,
2019-02-17,,,,,,,
2019-02-18,1.1905,1.2923,0.5795,0.5795,,1.2921,
2019-02-19,,,,,,1.3062,
2019-02-20,,,,,,1.3049,
2019-02-21,,,,,,1.3049,
2019-02-22,,,,,,1.3052,
2019-02-23,,,,,,,
2019-02-24,,,,,,,
2019-02-25,1.1922,1.2966,0.5795,0.5795,,1.3095,
2019-02-26,,,,,,1.325,
2019-02-27,,,,,,1.3308,
2019-02-28,,,,,,1.3261,
2019-03-01,,,,,66.14,1.3202,1.8
2019-03-02,,,,,,,
2019-03-03,,,,,,,
2019-03-04,1.1972,1.3025,0.5795,0.5795,,1.3186,
2019-03-05,,,,,,1.3175,
2019-03-06,,,,,,1.3169,
2019-03-07,,,,,,1.3084,
2019-03-08,,,,,,1.3015,
2019-03-09,,,,,,,
2019-03-10,,,,,,,
2019-03-11,1.2009999999999998,1.3059,0.5795,0.5795,,1.3151,
